24.3774767233 24.3774767233 24.3774767233
0  0.90 0.90 0.90
1  0.91 0.91 0.91
2  0.92 0.92 0.92
3  0.93 0.93 0.93
4  0.94 0.94 0.94
5  0.95 0.95 0.95
6  0.96 0.96 0.96
7  0.97 0.97 0.97
8  0.98 0.98 0.98
9  0.99 0.99 0.99
10 1.00 1.00 1.00
11 1.01 1.01 1.01
12 1.02 1.02 1.02
13 1.03 1.03 1.03
14 1.04 1.04 1.04
15 1.05 1.05 1.05
16 1.06 1.06 1.06
17 1.07 1.07 1.07
18 1.08 1.08 1.08
19 1.09 1.09 1.09
20 1.10 1.10 1.10
21 1.11 1.11 1.11
22 1.12 1.12 1.12
23 1.13 1.13 1.13
24 1.14 1.14 1.14
25 1.15 1.15 1.15
26 1.16 1.16 1.16
27 1.17 1.17 1.17
28 1.18 1.18 1.18
29 1.19 1.19 1.19
30 1.20 1.20 1.20





